Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 0, switch0: 0, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: xxxxxxx, seg2: xxxxxxx, led1: xxx, led2: xxx
Time: 5000, switch0: 0, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 10000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 15000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1111001, led1: 001, led2: 010
Time: 175000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 205000, switch0: 1, switch1: 0, btn0: 0, btn1: 1, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 255000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 275000, switch0: 1, switch1: 0, btn0: 1, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 285000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 325000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1111001, led1: 001, led2: 010
Time: 335000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 011, led2: 011
Time: 375000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 415000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 011, led2: 011
Time: 435000, switch0: 1, switch1: 1, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 455000, switch0: 1, switch1: 1, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 011, led2: 011
Time: 475000, switch0: 1, switch1: 1, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 495000, switch0: 1, switch1: 1, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 011, led2: 011
Time: 515000, switch0: 1, switch1: 1, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 535000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 000, led2: 000
Time: 575000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 1, seg1: 1111111, seg2: 1111111, led1: 011, led2: 011
Time: 585000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111111, seg2: 1111111, led1: 011, led2: 011
Time: 595000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1111001, led1: 001, led2: 010
Time: 765000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 845000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1111001, led1: 001, led2: 010
Time: 925000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0100100, seg2: 1111001, led1: 001, led2: 010
Time: 1005000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111001, seg2: 1111001, led1: 001, led2: 010
Time: 1085000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1000000, seg2: 1111001, led1: 001, led2: 010
Time: 1165000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010000, seg2: 1000000, led1: 001, led2: 010
Time: 1245000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000000, seg2: 1000000, led1: 001, led2: 010
Time: 1325000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111000, seg2: 1000000, led1: 001, led2: 010
Time: 1405000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000010, seg2: 1000000, led1: 001, led2: 010
Time: 1485000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1000000, led1: 001, led2: 011
Time: 1565000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1000000, led1: 001, led2: 011
Time: 1645000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1000000, led1: 001, led2: 011
Time: 1725000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0100100, seg2: 1000000, led1: 001, led2: 011
Time: 1805000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111001, seg2: 1000000, led1: 001, led2: 011
Time: 1885000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1000000, seg2: 1111001, led1: 010, led2: 001
Time: 2045000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010000, seg2: 1000000, led1: 010, led2: 001
Time: 2125000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000000, seg2: 1000000, led1: 010, led2: 001
Time: 2205000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111000, seg2: 1000000, led1: 010, led2: 001
Time: 2285000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000010, seg2: 1000000, led1: 010, led2: 001
Time: 2365000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1000000, led1: 010, led2: 001
Time: 2445000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1000000, led1: 010, led2: 001
Time: 2525000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1000000, led1: 010, led2: 001
Time: 2605000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0100100, seg2: 1000000, led1: 010, led2: 001
Time: 2685000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111001, seg2: 1000000, led1: 010, led2: 001
Time: 2765000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1000000, led1: 011, led2: 001
Time: 2925000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1000000, led1: 011, led2: 001
Time: 3005000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1000000, led1: 011, led2: 001
Time: 3085000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0100100, seg2: 1000000, led1: 011, led2: 001
Time: 3165000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111001, seg2: 1000000, led1: 011, led2: 001
Time: 3245000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1111001, led1: 001, led2: 010
Time: 3405000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1111001, led1: 001, led2: 010
Time: 3485000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1111001, led1: 001, led2: 010
Time: 3565000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0100100, seg2: 1111001, led1: 001, led2: 010
Time: 3645000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111001, seg2: 1111001, led1: 001, led2: 010
Time: 3725000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1000000, seg2: 1111001, led1: 001, led2: 010
Time: 3805000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010000, seg2: 1000000, led1: 001, led2: 010
Time: 3885000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000000, seg2: 1000000, led1: 001, led2: 010
Time: 3965000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111000, seg2: 1000000, led1: 001, led2: 010
Time: 4045000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000010, seg2: 1000000, led1: 001, led2: 010
Time: 4125000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010010, seg2: 1000000, led1: 001, led2: 011
Time: 4205000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0011001, seg2: 1000000, led1: 001, led2: 011
Time: 4285000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0110000, seg2: 1000000, led1: 001, led2: 011
Time: 4365000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0100100, seg2: 1000000, led1: 001, led2: 011
Time: 4445000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1111001, seg2: 1000000, led1: 001, led2: 011
Time: 4525000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 1000000, seg2: 1111001, led1: 010, led2: 001
Time: 4685000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0010000, seg2: 1000000, led1: 010, led2: 001
Time: 4765000, switch0: 1, switch1: 0, btn0: 0, btn1: 0, btn2: 0, seg1: 0000000, seg2: 1000000, led1: 010, led2: 001
